2026-08-14 18:41:06,727 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\HON_stock.csv
2026-08-14 18:41:06,818 | INFO | __main__ | Processing UPS...
2026-08-14 18:41:06,819 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for UPS...
2026-08-14 18:41:07,637 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\UPS_stock.csv
2026-08-14 18:41:07,744 | INFO | __main__ | Processing RTX...
2026-08-14 18:41:07,744 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for RTX...
2026-08-14 18:41:08,694 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\RTX_stock.csv
2026-08-14 18:41:08,752 | INFO | __main__ | Processing BA...
2026-08-14 18:41:08,752 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for BA...
2026-08-14 18:41:09,756 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\BA_stock.csv
2026-08-14 18:41:09,828 | INFO | __main__ | Processing LMT...
2026-08-14 18:41:09,829 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for LMT...
2026-08-14 18:41:11,016 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\LMT_stock.csv
2026-08-14 18:41:11,097 | INFO | __main__ | Processing MMM...
2026-08-14 18:41:11,097 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for MMM...
2026-08-14 18:41:12,246 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\MMM_stock.csv
2026-08-14 18:41:12,293 | INFO | __main__ | Processing TSLA...
2026-08-14 18:41:12,293 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for TSLA...
2026-08-14 18:41:13,049 | INFO | stock_pipeline.extract.yahoo_finance | Raw data saved to C:\Users\mahla\Stock_market_data_pipeline\data\raw\TSLA_stock.csv
2026-08-14 18:41:13,102 | INFO | __main__ | Processing F...
2026-08-14 18:41:13,103 | INFO | stock_pipeline.extract.yahoo_finance | Downloading data for F...
